model	carbon	nitrogen_regime	reaction_id	minimum	maximum	fraction_of_optimum
baseline_v1.13	fumarate	ammonium_open_n2_closed	EX_cpd11640_e0	0.0	76.63691666666135	0.9
baseline_v1.13	fumarate	ammonium_open_n2_closed	rxn06874_c0	0.0	0.0	0.9
baseline_v1.13	fumarate	ammonium_open_n2_closed	rxn05759_c0	0.0	76.63691666666948	0.9
baseline_v1.13	fumarate	ammonium_open_n2_closed	rxn00018_c0	0.0	509.76125	0.9
baseline_v1.13	fumarate	ammonium_open_n2_closed	rxn01111_c0	0.0	509.7612499999995	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_closed	bio1	0.0	0.0	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_closed	EX_cpd11640_e0	0.0	76.63691666666512	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_closed	rxn06874_c0	0.0	0.0	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_closed	rxn05759_c0	0.0	76.63691666666753	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_closed	rxn00018_c0	0.0	509.7612499999997	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_closed	rxn01111_c0	0.0	509.7612500000004	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_open	bio1	0.0	0.0	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_open	EX_cpd11640_e0	0.0	76.63691666666512	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_open	rxn06874_c0	0.0	0.0	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_open	rxn05759_c0	0.0	76.63691666666753	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_open	rxn00018_c0	0.0	509.7612499999997	0.9
baseline_v1.13	fumarate	ammonium_closed_n2_open	rxn01111_c0	0.0	509.7612500000004	0.9
candidate_n2_boundary	acetate	ammonium_open_n2_closed	bio1	0.0	0.0	0.9
candidate_n2_boundary	acetate	ammonium_open_n2_closed	EX_cpd11640_e0	0.0	78.3924166666673	0.9
candidate_n2_boundary	acetate	ammonium_open_n2_closed	rxn06874_c0	0.0	0.0	0.9
candidate_n2_boundary	acetate	ammonium_open_n2_closed	rxn05759_c0	0.0	78.39241666666761	0.9
candidate_n2_boundary	acetate	ammonium_open_n2_closed	rxn00018_c0	0.0	509.14999999999907	0.9
candidate_n2_boundary	acetate	ammonium_open_n2_closed	rxn01111_c0	0.0	509.15000000000043	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_closed	bio1	0.0	0.0	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_closed	EX_cpd11640_e0	0.0	78.39241666666673	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_closed	rxn06874_c0	0.0	0.0	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_closed	rxn05759_c0	0.0	78.39241666666952	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_closed	rxn00018_c0	0.0	509.14999999999907	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_closed	rxn01111_c0	0.0	509.15000000000043	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_open	bio1	0.0	0.0	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_open	EX_cpd11640_e0	0.0	78.39241666666813	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_open	rxn06874_c0	0.0	18.664861111111403	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_open	rxn05759_c0	-18.664861111111247	78.39241666666966	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_open	rxn00018_c0	0.0	509.1499999999999	0.9
candidate_n2_boundary	acetate	ammonium_closed_n2_open	rxn01111_c0	0.0	509.15000000000015	0.9
candidate_n2_boundary	acetate	nitrogenase_forced_min_n2_open	bio1	0.0	-3.8356125829406056e-34	0.9
candidate_n2_boundary	acetate	nitrogenase_forced_min_n2_open	EX_cpd11640_e0	0.0	78.35041666666699	0.9
candidate_n2_boundary	acetate	nitrogenase_forced_min_n2_open	rxn06874_c0	0.01	18.664861111111197	0.9
candidate_n2_boundary	acetate	nitrogenase_forced_min_n2_open	rxn05759_c0	-18.664861111111282	78.340416666667	0.9
candidate_n2_boundary	acetate	nitrogenase_forced_min_n2_open	rxn00018_c0	0.0	509.0725000000003	0.9
candidate_n2_boundary	acetate	nitrogenase_forced_min_n2_open	rxn01111_c0	0.0	509.07249999999965	0.9
candidate_n2_boundary	succinate	ammonium_open_n2_closed	bio1	0.0	0.0	0.9
candidate_n2_boundary	succinate	ammonium_open_n2_closed	EX_cpd11640_e0	0.0	81.29691666666479	0.9
candidate_n2_boundary	succinate	ammonium_open_n2_closed	rxn06874_c0	0.0	0.0	0.9
candidate_n2_boundary	succinate	ammonium_open_n2_closed	rxn05759_c0	0.0	81.29691666666841	0.9
candidate_n2_boundary	succinate	ammonium_open_n2_closed	rxn00018_c0	0.0	509.7612499999998	0.9
candidate_n2_boundary	succinate	ammonium_open_n2_closed	rxn01111_c0	0.0	509.7612500000006	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_closed	bio1	0.0	0.0	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_closed	EX_cpd11640_e0	0.0	81.29691666666785	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_closed	rxn06874_c0	0.0	0.0	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_closed	rxn05759_c0	0.0	81.29691666666672	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_closed	rxn00018_c0	0.0	509.7612499999992	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_closed	rxn01111_c0	0.0	509.7612500000006	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_open	bio1	0.0	0.0	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_open	EX_cpd11640_e0	0.0	81.29691666666837	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_open	rxn06874_c0	0.0	19.35640873015892	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_open	rxn05759_c0	-19.356408730158133	81.29691666666598	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_open	rxn00018_c0	0.0	509.7612500000001	0.9
candidate_n2_boundary	succinate	ammonium_closed_n2_open	rxn01111_c0	0.0	509.76125	0.9
candidate_n2_boundary	succinate	nitrogenase_forced_min_n2_open	bio1	0.0	-5.3556487335650507e-20	0.9
candidate_n2_boundary	succinate	nitrogenase_forced_min_n2_open	EX_cpd11640_e0	0.0	81.25491666666775	0.9
candidate_n2_boundary	succinate	nitrogenase_forced_min_n2_open	rxn06874_c0	0.01	19.3564087301588	0.9
candidate_n2_boundary	succinate	nitrogenase_forced_min_n2_open	rxn05759_c0	-19.3564087301588	81.24491666666779	0.9
candidate_n2_boundary	succinate	nitrogenase_forced_min_n2_open	rxn00018_c0	0.0	509.68375	0.9
candidate_n2_boundary	succinate	nitrogenase_forced_min_n2_open	rxn01111_c0	0.0	509.68375000000003	0.9
candidate_n2_boundary	butyrate	ammonium_open_n2_closed	bio1	0.0	0.0	0.9
candidate_n2_boundary	butyrate	ammonium_open_n2_closed	EX_cpd11640_e0	0.0	91.13858333333658	0.9
candidate_n2_boundary	butyrate	ammonium_open_n2_closed	rxn06874_c0	0.0	0.0	0.9
candidate_n2_boundary	butyrate	ammonium_open_n2_closed	rxn05759_c0	0.0	91.13858333333583	0.9
candidate_n2_boundary	butyrate	ammonium_open_n2_closed	rxn00018_c0	0.0	509.14999999999907	0.9
candidate_n2_boundary	butyrate	ammonium_open_n2_closed	rxn01111_c0	0.0	509.15000000000043	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_closed	bio1	0.0	0.0	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_closed	EX_cpd11640_e0	0.0	91.13858333332942	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_closed	rxn06874_c0	0.0	0.0	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_closed	rxn05759_c0	0.0	91.1385833333345	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_closed	rxn00018_c0	0.0	509.14999999999907	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_closed	rxn01111_c0	0.0	509.15000000000043	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_open	bio1	0.0	0.0	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_open	EX_cpd11640_e0	0.0	91.13858333333467	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_open	rxn06874_c0	0.0	21.699662698412993	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_open	rxn05759_c0	-21.699662698412773	91.13858333333764	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_open	rxn00018_c0	0.0	509.1499999999999	0.9
candidate_n2_boundary	butyrate	ammonium_closed_n2_open	rxn01111_c0	0.0	509.15000000000015	0.9
candidate_n2_boundary	butyrate	nitrogenase_forced_min_n2_open	bio1	0.0	1.5394810556172215e-32	0.9
candidate_n2_boundary	butyrate	nitrogenase_forced_min_n2_open	EX_cpd11640_e0	0.0	91.09658333333479	0.9
