reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
rxn00412_c0	UTP:L-glutamine amido-ligase (ADP-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00053[c0] + cpd00062[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + cpd00052[c0] + 2.0 cpd00067[c0]	TX73_RS14960	False
rxn00414_c0	hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)_c0	0.0	1000.0	cpd00001[c0] + 2.0 cpd00002[c0] + cpd00053[c0] + cpd00242[c0] --> 2.0 cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + 2.0 cpd00067[c0] + cpd00146[c0]	TX73_RS06555 and TX73_RS21090	False
rxn00416_c0	L-aspartate:L-glutamine amido-ligase (AMP-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00041[c0] + cpd00053[c0] --> cpd00012[c0] + cpd00018[c0] + cpd00023[c0] + 2.0 cpd00067[c0] + cpd00132[c0]		False
rxn00467_c0	L-glutamate:L-glutamate-5-semialdehyde aminotransferase (L-ornithine-forming)_c0	-1000.0	1000.0	cpd00023[c0] + cpd00858[c0] <=> cpd00024[c0] + cpd00064[c0]	TX73_RS19330	False
rxn00473_c0	L-tryptophan indole-lyase (deaminating; pyruvate-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00065[c0] --> cpd00013[c0] + cpd00020[c0] + cpd00359[c0]	TX73_RS18475	False
rxn00493_c0	L-Phenylalanine:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00066[c0] <=> cpd00023[c0] + cpd00143[c0]	TX73_RS23035 or TX73_RS22440	False
rxn00527_c0	L-tyrosine:2-oxoglutarate aminotransferase_c0	-1000.0	1000.0	cpd00024[c0] + cpd00069[c0] <=> cpd00023[c0] + cpd00868[c0]	TX73_RS22440 or TX73_RS23035	False
rxn00539_c0	ethanolamine ammonia-lyase (acetaldehyde-forming)_c0	0.0	1000.0	cpd00162[c0] --> cpd00013[c0] + cpd00071[c0]	TX73_RS19405 or TX73_RS19415	False
rxn00555_c0	L-glutamine:D-fructose-6-phosphate isomerase (deaminating)_c0	-1000.0	1000.0	cpd00053[c0] + cpd00072[c0] <=> cpd00023[c0] + cpd00288[c0]	TX73_RS13785	False
rxn00560_c0	Urea:carbon-dioxide ligase (ADP-forming)_c0	0.0	1000.0	cpd00002[c0] + cpd00073[c0] + cpd00242[c0] --> cpd00008[c0] + cpd00009[c0] + cpd00067[c0] + cpd00742[c0]	TX73_RS07210	False
