model	module	reaction_id	name	lower_bound	upper_bound	reaction	gpr	is_exchange
v1_14_candidate_n2	phb	rxn02167_c0	(S)-3-Hydroxybutanoyl-CoA hydro-lyase_c0	-1000.0	1000.0	cpd00842[c0] <=> cpd00001[c0] + cpd00650[c0]	TX73_RS02165 or TX73_RS09315 or TX73_RS11975 or TX73_RS14325	False
v1_14_candidate_n2	phb	rxn02345_c0	(S)-3-Hydroxybutanoyl-CoA 3-epimerase_c0	-1000.0	1000.0	cpd00842[c0] <=> cpd02234[c0]	TX73_RS04220	False
v1_14_candidate_n2	h2	rxn35926_c0	alcohol dehydrogenase [NAD(P)+]_c0	-1000.0	1000.0	cpd00003[c0] + cpd06740[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd06739[c0]	TX73_RS00125	False
v1_14_candidate_n2	h2	rxn36169_c0	alcohol dehydrogenase [NAD(P)+]_c0	-1000.0	1000.0	cpd00003[c0] + cpd08240[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd08238[c0]	TX73_RS00125	False
v1_14_candidate_n2	h2	rxn04792_c0	S-(hydroxymethyl)glutathione dehydrogenase_c0	-1000.0	1000.0	cpd00003[c0] + cpd09879[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd00759[c0]	TX73_RS10080	False
v1_14_candidate_n2	cbb_rubisco	rxn01101_c0	3-Phospho-D-glycerate:NAD+ 2-oxidoreductase_c0	-1000.0	1000.0	cpd00003[c0] + cpd00169[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd02069[c0]	TX73_RS22325	False
v1_14_candidate_n2	h2	rxn05735_c0	aldehyde dehydrogenase (aminoacetaldehyde, NAD)_c0	0.0	1000.0	cpd00001[c0] + cpd00003[c0] + cpd04122[c0] --> cpd00004[c0] + cpd00033[c0] + 2.0 cpd00067[c0]		False
v1_14_candidate_n2	h2	rxn00006_c0	hydrogen-peroxide:hydrogen-peroxide oxidoreductase_c0	0.0	1000.0	2.0 cpd00025[c0] --> 2.0 cpd00001[c0] + cpd00007[c0]	TX73_RS02230 or TX73_RS17115	False
v1_14_candidate_n2	ferredoxin	rxn05893_c0	Ammonia:ferredoxin oxidoreductase_c0	-1000.0	1000.0	2.0 cpd00001[c0] + cpd00013[c0] + 6.0 cpd11621[c0] <=> 8.0 cpd00067[c0] + cpd00075[c0] + 6.0 cpd11620[c0]	TX73_RS19220	False
v1_14_candidate_n2	nitrogenase	rxn06874_c0	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)_c0	0.0	1000.0	16.0 cpd00001[c0] + 16.0 cpd00002[c0] + cpd00528[c0] + 8.0 cpd11620[c0] --> 16.0 cpd00008[c0] + 16.0 cpd00009[c0] + 2.0 cpd00013[c0] + 6.0 cpd00067[c0] + 8.0 cpd11621[c0] + cpd11640[c0]	(TX73_RS23995 and TX73_RS23990 and TX73_RS23985) or (TX73_RS07065 and TX73_RS07075 and TX73_RS07085) or (TX73_RS07385 and TX73_RS07380 and TX73_RS07370)	False
v1_14_candidate_n2	h2	rxn06874_c0	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)_c0	0.0	1000.0	16.0 cpd00001[c0] + 16.0 cpd00002[c0] + cpd00528[c0] + 8.0 cpd11620[c0] --> 16.0 cpd00008[c0] + 16.0 cpd00009[c0] + 2.0 cpd00013[c0] + 6.0 cpd00067[c0] + 8.0 cpd11621[c0] + cpd11640[c0]	(TX73_RS23995 and TX73_RS23990 and TX73_RS23985) or (TX73_RS07065 and TX73_RS07075 and TX73_RS07085) or (TX73_RS07385 and TX73_RS07380 and TX73_RS07370)	False
v1_14_candidate_n2	ferredoxin	rxn06874_c0	reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)_c0	0.0	1000.0	16.0 cpd00001[c0] + 16.0 cpd00002[c0] + cpd00528[c0] + 8.0 cpd11620[c0] --> 16.0 cpd00008[c0] + 16.0 cpd00009[c0] + 2.0 cpd00013[c0] + 6.0 cpd00067[c0] + 8.0 cpd11621[c0] + cpd11640[c0]	(TX73_RS23995 and TX73_RS23990 and TX73_RS23985) or (TX73_RS07065 and TX73_RS07075 and TX73_RS07085) or (TX73_RS07385 and TX73_RS07380 and TX73_RS07370)	False
v1_14_candidate_n2	nitrogenase	rxn39362_c0	nitrogen:ferricytochrome-c oxidoreductase (N2O-forming)_c0	-1000.0	1000.0	cpd00001[c0] + 2.0 cpd00109[c0] + cpd00528[c0] <=> 2.0 cpd00067[c0] + 2.0 cpd00110[c0] + cpd00659[c0]	TX73_RS10625	False
v1_14_candidate_n2	cbb_rubisco	rxn02507_c0	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)_c0	0.0	1000.0	cpd00067[c0] + cpd00956[c0] --> cpd00001[c0] + cpd00011[c0] + cpd02210[c0]	TX73_RS14985	False
v1_14_candidate_n2	h2	rxn03542_c0	hydrogenobyrinic-acid-a,c-diamide:cobalt cobalt-ligase (ADP-forming)_c0	0.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00149[c0] + cpd03913[c0] --> cpd00008[c0] + cpd00009[c0] + 5.0 cpd00067[c0] + cpd03914[c0]	TX73_RS02575 and TX73_RS03705 and TX73_RS12395 and TX73_RS02585	False
v1_14_candidate_n2	h2	rxn02774_c0	precorrin-2 dehydrogenase_c0	-1000.0	1000.0	cpd00003[c0] + cpd01620[c0] <=> cpd00004[c0] + 2.0 cpd00067[c0] + cpd03426[c0]	TX73_RS21850	False
v1_14_candidate_n2	ferredoxin	rxn04160_c0	ATP-dependent ferredoxin:protochlorophyllide-a 7,8-oxidoreductase_c0	-1000.0	1000.0	cpd00001[c0] + cpd00002[c0] + cpd00067[c0] + cpd01845[c0] <=> cpd00008[c0] + cpd00009[c0] + cpd01449[c0]	TX73_RS07925 and TX73_RS07930 and TX73_RS07940	False
v1_14_candidate_n2	ferredoxin	rxn15930_c0	3-hydroxyethylbacteriochlorophyllide-a:ferredoxin oxidoreductase_c0	0.0	1000.0	2.0 cpd00067[c0] + cpd11620[c0] + cpd19424[c0] --> cpd11621[c0] + cpd19423[c0]	TX73_RS07825 and TX73_RS07830 and TX73_RS07835	False
v1_14_candidate_n2	h2	rxn00414_c0	hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)_c0	0.0	1000.0	cpd00001[c0] + 2.0 cpd00002[c0] + cpd00053[c0] + cpd00242[c0] --> 2.0 cpd00008[c0] + cpd00009[c0] + cpd00023[c0] + 2.0 cpd00067[c0] + cpd00146[c0]	TX73_RS06555 and TX73_RS21090	False
v1_14_candidate_n2	ferredoxin	rxn14070_c0	(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized ferredoxin oxidoreductase (hydrating)_c0	0.0	1000.0	2.0 cpd00067[c0] + cpd08301[c0] + 2.0 cpd11620[c0] --> cpd00001[c0] + cpd08615[c0] + 2.0 cpd11621[c0]	TX73_RS02690	False
v1_14_candidate_n2	h2	EX_cpd00001_e0	Exchange for H2O_e0	-100.0	100.0	cpd00001[e0] <=> 		True
v1_14_candidate_n2	h2	EX_cpd00268_e0	Exchange for H2S2O3_e0	0.0	100.0	cpd00268[e0] --> 		True
v1_14_candidate_n2	h2	EX_cpd11640_e0	Exchange for H2_e0	0.0	1000.0	cpd11640[e0] --> 		True
v1_14_candidate_n2	h2	rxn05319_c0	diffusion for H2O_e0	-1000.0	1000.0	cpd00001[e0] <=> cpd00001[c0]	TX73_RS12845	False
v1_14_candidate_n2	phb	biomass_storage_c0	storage biomass pseudo-reaction_c0	0.0	1000.0	0.4321 cpd11735[c0] + 0.1163 cpd12836[c0] --> bm_storage[c0]		False
v1_14_candidate_n2	h2	rxn12239_c0	4-hydroxybenzyl alcohol dehydrogenase_c0	-1000.0	1000.0	cpd00003[c0] + cpd15378[c0] <=> cpd00004[c0] + cpd00067[c0] + cpd00484[c0]		False
v1_14_candidate_n2	h2	rxn00623_c0	hydrogen-sulfide:NADP+ oxidoreductase_c0	0.0	1000.0	3.0 cpd00005[c0] + 3.0 cpd00067[c0] + cpd00081[c0] --> 3.0 cpd00001[c0] + 3.0 cpd00006[c0] + cpd00239[c0]		False
v1_14_candidate_n2	nitrogenase	EX_cpd00528_c0	Exchange for N2_c0 candidate boundary	0.0	1000.0	cpd00528[c0] --> 		False
iRpa940_reference	nitrogenase	EX_cpd00528_b	EX_cpd00528_b	-1000.0	1000.0	cpd00528_b <=> 		True
iRpa940_reference	h2	EX_cpd11640_b	EX_cpd11640_b	-1000.0	1000.0	cpd11640_b <=> 		True
iRpa940_reference	h2	rxn04271_c0	trans_2_Methyl_5_isopropylhexa_2_5_dienal_dehydrogenase_c0	-1000.0	1000.0	cpd00001_c0 + cpd00003_c0 + cpd08739_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd08740_c0	TX73_RS01185	False
iRpa940_reference	h2	rxn10118_c0	hydrogenase_ubiquinone_8__2_protons_periplasm_c0	0.0	1000.0	2.0 cpd00067_c0 + cpd11640_c0 + cpd15560_c0 --> 2.0 cpd00067_e0 + cpd15561_c0	Unknown and Unknown and Unknown and Unknown and Unknown and TX73_RS22750 and Unknown and Unknown and Unknown and Unknown	False
iRpa940_reference	h2	rxn04792_c0	S_hydroxymethylglutathione_dehydrogenase_c0	-1000.0	1000.0	cpd00003_c0 + cpd09879_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00759_c0	TX73_RS09990	False
iRpa940_reference	h2	rxn08471_c0	FMNH2_dependent_monooxygenase_sulfoacetate_c0	0.0	1000.0	cpd00007_c0 + cpd01270_c0 + cpd09878_c0 --> cpd00001_c0 + cpd00040_c0 + cpd00050_c0 + cpd00067_c0 + cpd00081_c0	TX73_RS13325	False
iRpa940_reference	cbb_rubisco	rxn01102_c0		0.0	1000.0	cpd00002_c0 + cpd00223_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00169_c0	TX73_RS14285	False
iRpa940_reference	h2	rxn03951_c0	NAD_dependent_threonine_4_phosphate_dehydrogenase_c0	-1000.0	1000.0	cpd00003_c0 + cpd03607_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd04539_c0	TX73_RS15635 or TX73_RS15635	False
iRpa940_reference	cbb_rubisco	rxn01111_c0		0.0	1000.0	cpd00002_c0 + cpd00171_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00871_c0	TX73_RS23720	False
iRpa940_reference	ferredoxin	rxn05938_c0		0.0	1000.0	cpd00010_c0 + cpd00020_c0 + cpd11621_c0 --> cpd00011_c0 + cpd00022_c0 + cpd00067_c0 + cpd11620_c0	TX73_RS24135	False
iRpa940_reference	h2	rxn03974_c0	FMNH2_NAD_plus__oxidoreductase_c0	0.0	1000.0	cpd00004_c0 + cpd00050_c0 + 2.0 cpd00067_c0 --> cpd00003_c0 + cpd01270_c0	TX73_RS01740	False
iRpa940_reference	h2	rxn00566_c0	L_Cysteine_hydrogen_sulfide_lyase_deaminating_pyruvate_forming_c0	0.0	1000.0	cpd00001_c0 + cpd00084_c0 --> cpd00013_c0 + cpd00020_c0 + cpd00067_c0 + cpd00239_c0	TX73_RS13045 or TX73_RS12020	False
iRpa940_reference	cbb_rubisco	rxn01100_c0	ATP_3_phospho_D_glycerate_1_phosphotransferase_c0	-1000.0	1000.0	cpd00002_c0 + cpd00169_c0 <=> cpd00008_c0 + cpd00203_c0	TX73_RS16765 or TX73_RS06130 or TX73_RS04845	False
iRpa940_reference	h2	rxn04270_c0	cis_2_Methyl_5_isopropylhexa_2_5_dienal_dehydrogenase_c0	-1000.0	1000.0	cpd00001_c0 + cpd00003_c0 + cpd02708_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd08741_c0	TX73_RS01185	False
iRpa940_reference	h2	rxn05734_c0	aldehyde_dehydrogenase_glyoxylate__NAD_c0	-1000.0	1000.0	cpd00001_c0 + cpd00003_c0 + cpd00040_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00180_c0	TX73_RS06160 or TX73_RS00575 or TX73_RS10970	False
iRpa940_reference	ferredoxin	rxn05893_c0		0.0	1000.0	8.0 cpd00067_c0 + cpd00075_c0 + 6.0 cpd11620_c0 --> 2.0 cpd00001_c0 + cpd00013_c0 + 6.0 cpd11621_c0	TX73_RS18940	False
iRpa940_reference	cbb_rubisco	rxn01116_c0	D_Ribulose_5_phosphate_3_epimerase_c0	-1000.0	1000.0	cpd00171_c0 <=> cpd00198_c0	TX73_RS19470 or TX73_RS00605	False
iRpa940_reference	cbb_rubisco	rxn00018_c0		-1000.0	1000.0	cpd00001_c0 + cpd00011_c0 + cpd00871_c0 <=> 2.0 cpd00067_c0 + 2.0 cpd00169_c0	TX73_RS07945	False
iRpa940_reference	cbb_rubisco	rxn01106_c0	2_Phospho_D_glycerate_2_3_phosphomutase_c0	-1000.0	1000.0	cpd00482_c0 <=> cpd00169_c0	TX73_RS01760	False
iRpa940_reference	h2	rxn00428_c0	dichloromethane_chloride_lyase_adding_H2O_chloride_hydrolysing_formaldehyde_forming_c0	-1000.0	1000.0	cpd00001_c0 + cpd01530_c0 <=> cpd00055_c0 + 2.0 cpd00067_c0 + 2.0 cpd00099_c0	TX73_RS09165 or TX73_RS06140 or TX73_RS04055	False
iRpa940_reference	h2	rxn11544_c0	HydrogenobyrinateHydrogenobyrinate_a_c_diamide_c0	-1000.0	1000.0	cpd00001_c0 + 2.0 cpd00002_c0 + 2.0 cpd00053_c0 + cpd03832_c0 <=> 2.0 cpd00008_c0 + cpd00012_c0 + 2.0 cpd00023_c0 + cpd00067_c0 + cpd03913_c0	TX73_RS20790 or TX73_RS10610 or TX73_RS11415	False
iRpa940_reference	h2	rxn00205_c0	glutathione_hydrogen_peroxide_oxidoreductase_c0	0.0	1000.0	cpd00025_c0 + 2.0 cpd00042_c0 --> 2.0 cpd00001_c0 + cpd00111_c0	(TX73_RS18525 or TX73_RS18530) or (TX73_RS18525 or TX73_RS18530)	False
iRpa940_reference	h2	rxn05909_c0	L_serine_hydro_lyase_adding_hydrogen_sulfide__L_cysteine_forming_c0	-1000.0	1000.0	cpd00054_c0 + cpd00067_c0 + cpd00239_c0 <=> cpd00001_c0 + cpd00084_c0	TX73_RS12015	False
iRpa940_reference	h2	rxn08469_c0	FMNH2_dependent_monooxygenase_ethanesulfonate_c0	0.0	1000.0	cpd00007_c0 + cpd01270_c0 + cpd11579_c0 --> cpd00001_c0 + cpd00050_c0 + cpd00067_c0 + cpd00071_c0 + cpd00081_c0	TX73_RS13325	False
iRpa940_reference	h2	rxn08468_c0	FMNH2_dependent_monooxygenase_methanesulfonate_c0	0.0	1000.0	cpd00007_c0 + cpd01270_c0 + cpd08023_c0 --> cpd00001_c0 + cpd00050_c0 + cpd00055_c0 + cpd00067_c0 + cpd00081_c0	TX73_RS13325	False
iRpa940_reference	cbb_rubisco	rxn01101_c0	3_Phospho_D_glycerate_NAD_plus__2_oxidoreductase_c0	-1000.0	1000.0	cpd00003_c0 + cpd00169_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd02069_c0	TX73_RS21970	False
iRpa940_reference	ferredoxin	rxn05937_c0		0.0	1000.0	cpd00005_c0 + cpd11621_c0 --> cpd00006_c0 + cpd00067_c0 + cpd11620_c0	TX73_RS20180 or TX73_RS08040	False
iRpa940_reference	h2	rxn00006_c0	hydrogen_peroxide_hydrogen_peroxide_oxidoreductase	0.0	1000.0	2.0 cpd00025_c0 --> 2.0 cpd00001_c0 + cpd00007_c0	Unknown	False
iRpa940_reference	h2	rxn05759_c0		0.0	1000.0	2.0 cpd11621_c0 + cpd11640_c0 --> 2.0 cpd00067_c0 + 2.0 cpd11620_c0	Unknown	False
iRpa940_reference	ferredoxin	rxn05759_c0		0.0	1000.0	2.0 cpd11621_c0 + cpd11640_c0 --> 2.0 cpd00067_c0 + 2.0 cpd11620_c0	Unknown	False
iRpa940_reference	h2	rxn00414_c0	hydrogen_carbonate_L_glutamine_amido_ligase_ADP_forming__carbamate_phosphorylating	0.0	1000.0	cpd00001_c0 + 2.0 cpd00002_c0 + cpd00053_c0 + cpd00242_c0 --> 2.0 cpd00008_c0 + cpd00009_c0 + cpd00023_c0 + 2.0 cpd00067_c0 + cpd00146_c0	Unknown	False
iRpa940_reference	ferredoxin	rxn14159_c0		0.0	1000.0	cpd00005_c0 + 2.0 cpd11621_c0 --> cpd00006_c0 + cpd00067_c0 + 2.0 cpd11620_c0	Unknown	False
iRpa940_reference	cbb_rubisco	rxn01103_c0	3_Phospho_D_glyceroyl_phosphate_phosphohydrolase	0.0	1000.0	cpd00001_c0 + cpd00203_c0 --> cpd00009_c0 + cpd00067_c0 + cpd00169_c0	Unknown	False
iRpa940_reference	h2	rxn01418_c0	2_oxoadipate_dehydrogenase_complex	0.0	1000.0	cpd00003_c0 + cpd00010_c0 + cpd00067_c0 + cpd00269_c0 --> cpd00004_c0 + cpd00011_c0 + cpd00413_c0	Unknown	False
iRpa940_reference	ferredoxin	rxn14227_c0		0.0	1000.0	4.0 cpd00067_c0 + cpd00484_c0 + 4.0 cpd11620_c0 --> cpd00001_c0 + cpd01042_c0 + 4.0 cpd11621_c0	Unknown	False
iRpa940_reference	nitrogenase	rxn06246_c0		0.0	1000.0	cpd00659_c0 + cpd11610_c0 --> cpd00001_c0 + cpd00528_c0 + cpd11609_c0	Unknown	False
iRpa940_reference	cbb_rubisco	rxn02507_c0	1_2_Carboxyphenylamino_1_deoxy_D_ribulose_5_phosphate_carboxy_lyasecyclizing	0.0	1000.0	cpd00067_c0 + cpd00956_c0 --> cpd00001_c0 + cpd00011_c0 + cpd02210_c0	Unknown	False
iRpa940_reference	h2	rxn06790_c0	zeta_Carotene__hydrogen_donor_oxygen_oxidoreductase	0.0	1000.0	cpd00007_c0 + cpd03215_c0 + cpd11610_c0 --> 2.0 cpd00001_c0 + cpd03216_c0 + cpd11609_c0	Unknown	False
iRpa940_reference	h2	rxn06792_c0	Neurosporene__hydrogen_donor_oxygen_oxidoreductase	0.0	1000.0	cpd00007_c0 + cpd03216_c0 + cpd11610_c0 --> 2.0 cpd00001_c0 + cpd03217_c0 + cpd11609_c0	Unknown	False
iRpa940_reference	nitrogenase	rxn06874_c0	reduced_ferredoxin_dinitrogen_oxidoreductase_ATP_hydrolysing	0.0	1000.0	16.0 cpd00001_c0 + 16.0 cpd00002_c0 + cpd00528_c0 + 8.0 cpd11620_c0 --> 16.0 cpd00008_c0 + 16.0 cpd00009_c0 + 2.0 cpd00013_c0 + 6.0 cpd00067_c0 + 8.0 cpd11621_c0 + cpd11640_c0	Unknown	False
iRpa940_reference	h2	rxn06874_c0	reduced_ferredoxin_dinitrogen_oxidoreductase_ATP_hydrolysing	0.0	1000.0	16.0 cpd00001_c0 + 16.0 cpd00002_c0 + cpd00528_c0 + 8.0 cpd11620_c0 --> 16.0 cpd00008_c0 + 16.0 cpd00009_c0 + 2.0 cpd00013_c0 + 6.0 cpd00067_c0 + 8.0 cpd11621_c0 + cpd11640_c0	Unknown	False
iRpa940_reference	ferredoxin	rxn06874_c0	reduced_ferredoxin_dinitrogen_oxidoreductase_ATP_hydrolysing	0.0	1000.0	16.0 cpd00001_c0 + 16.0 cpd00002_c0 + cpd00528_c0 + 8.0 cpd11620_c0 --> 16.0 cpd00008_c0 + 16.0 cpd00009_c0 + 2.0 cpd00013_c0 + 6.0 cpd00067_c0 + 8.0 cpd11621_c0 + cpd11640_c0	Unknown	False
iRpa940_reference	h2	rxn10476_c0	hydrogenobyrinic_acid_a_c_diamide_cobalt_cobalt_ligase_ADP_forming	-1000.0	1000.0	cpd00001_c0 + cpd00002_c0 + cpd00149_c0 + cpd03913_c0 <=> cpd00008_c0 + cpd00009_c0 + 2.0 cpd00067_c0 + cpd03914_c0	Unknown	False
iRpa940_reference	ferredoxin	rxn06926_c0		0.0	1000.0	cpd00001_c0 + cpd00002_c0 + cpd00067_c0 + cpd01090_c0 + cpd11620_c0 --> cpd00008_c0 + cpd00009_c0 + cpd03956_c0 + cpd11621_c0	Unknown	False
iRpa940_reference	ferredoxin	rxn07189_c0	carbon_monoxide_water_ferredoxin_oxidoreductase	-1000.0	1000.0	cpd00001_c0 + cpd00204_c0 + cpd11621_c0 <=> cpd00011_c0 + 3.0 cpd00067_c0 + cpd11620_c0	Unknown	False
iRpa940_reference	h2	rxn08094_c0	2_Oxoglutarate_dehydrogenase_complex	0.0	1000.0	cpd00003_c0 + cpd00010_c0 + cpd00024_c0 --> cpd00004_c0 + cpd00011_c0 + cpd00078_c0	Unknown	False
iRpa940_reference	h2	rxn12239_c0	4_hydroxy_benzyl_alcohol_dehydrogenase_c0	0.0	1000.0	cpd00003_c0 + cpd15378_c0 --> cpd00004_c0 + cpd00067_c0 + cpd00484_c0	Unknown	False
iRpa940_reference	cbb_rubisco	rxn05040_c0	D_ribulose_5_phosphate_formate_lyase_L_3_4_dihydroxybutan_2_one_4_phosphate_forming_c0	0.0	1000.0	cpd00171_c0 --> cpd00047_c0 + cpd00067_c0 + cpd11225_c0	Unknown	False
iRpa940_reference	nitrogenase	rxn10577_c0	Nitrogen_exchange__diffusion	-1000.0	1000.0	cpd00528_e0 <=> cpd00528_c0	Unknown	False
iRpa940_reference	h2	rxn10542_c0	hydrogen_transport	-1000.0	1000.0	cpd11640_c0 <=> cpd11640_e0	Unknown	False
iRpa940_reference	ferredoxin	rxn20482_c0	4_hydroxybenzoyl_CoA_reductase_dehydroxylating	-1000.0	1000.0	cpd00001_c0 + cpd00401_c0 + cpd11621_c0 <=> cpd00067_c0 + cpd01892_c0 + cpd11620_c0	Unknown	False
iRpa940_reference	ferredoxin	rxn17231_c0	benzoyl_CoA_reductase	-1000.0	1000.0	2.0 cpd00008_c0 + 2.0 cpd00009_c0 + cpd03763_c0 + cpd11621_c0 <=> 2.0 cpd00001_c0 + 2.0 cpd00002_c0 + cpd00067_c0 + cpd00401_c0 + cpd11620_c0	Unknown	False
iRpa940_reference	h2	EX_cpd00001_e0	EX_H2O_e0	-1000.0	1000.0	cpd00001_e0 <=> cpd00001_b		False
iRpa940_reference	h2	EX_cpd00268_e0	EX_H2S2O3	-1000.0	1000.0	cpd00268_e0 <=> cpd00268_b		False
iRpa940_reference	nitrogenase	EX_cpd00528_e0	EX_N2	-1000.0	1000.0	cpd00528_e0 <=> cpd00528_b		False
iRpa940_reference	h2	EX_cpd11640_e0	EX_H2	-1000.0	1000.0	cpd11640_e0 <=> cpd11640_b		False
